event_id,event_category,event_type_raw,began,restored,year,n_counties_affected,n_states_affected,mean_duration_hours,total_customers_affected,max_customers_single_county
Alabama-0,Weather,Severe Weather - Winter,2015-01-07 17:00:00,2015-01-08 08:35:00,2015,60,1,5.085211267605634,302983.0,23861.0
Alabama-1,Weather,Severe Weather - Winter,2015-02-16 21:00:00,2015-02-18 14:00:00,2015,62,1,5.044455066921606,354674.0,47818.0
Alabama-10,Weather,Severe Weather,2020-10-29 02:00:00,2020-10-31 09:00:00,2020,57,1,14.093201754385966,531550.0,114468.0
Alabama-11,Physical/Security,Vandalism,2020-02-17 09:47:00,2020-02-17 15:31:00,2020,13,1,1.5192307692307692,15443.0,5019.0
Alabama-12,Physical/Security,Vandalism,2020-05-19 20:04:00,2020-05-19 22:00:00,2020,17,1,1.23,11519.0,1372.0
Alabama-13,Physical/Security,Vandalism,2020-05-31 21:30:00,2020-06-01 01:00:00,2020,25,1,1.2023809523809523,41655.0,8316.0
Alabama-2,Weather,Severe Weather - Winter,2015-02-18 15:00:00,2015-02-20 09:00:00,2015,52,1,2.759025270758123,96802.0,10606.0
Alabama-3,Weather,Severe Weather,2015-07-14 20:00:00,2015-07-15 09:23:00,2015,59,1,6.1279863481228665,266789.0,34661.0
Alabama-4,Weather,Severe Weather,2017-10-08 03:00:00,2017-10-08 03:00:00,2017,53,1,3.6372549019607843,132301.0,17699.0
Alabama-5,Weather,Severe Weather,2017-12-08 10:00:00,2017-12-10 20:50:00,2017,56,1,4.538300835654596,249595.0,71413.0
Alabama-6,Weather,Severe Weather,2017-05-27 23:00:00,2017-05-27 23:00:00,2017,51,1,2.7241379310344827,152051.0,71413.0
Alabama-7,Weather,Severe Weather/Transmission Interruption,2020-09-15 22:00:00,2020-09-20 15:00:00,2020,52,1,5.589189189189189,212700.0,71413.0
Alabama-8,Weather,Severe Weather,2020-10-28 21:37:00,2020-11-02 19:30:00,2020,58,1,12.333069620253164,586660.0,114468.0
Alabama-9,Weather,Severe Weather,2020-09-16 03:00:00,2020-09-21 08:00:00,2020,49,1,4.2313829787234045,96923.0,14199.0
Arizona-0,Physical/Security,Sabotage,2015-08-03 08:27:00,2015-08-04 01:18:00,2015,11,1,2.1018518518518516,87958.0,38908.0
Arizona-1,Physical/Security,Sabotage - Operator Action(s),2016-02-26 16:35:00,2016-02-26 20:22:00,2016,10,1,2.574561403508772,63151.0,44798.0
Arizona-2,Equipment/Operational,Fuel Supply Deficiency,2019-09-19 05:55:00,2019-09-19 14:30:00,2019,10,1,1.8680555555555556,88146.0,49571.0
Arizona-3,Equipment/Operational,System Operations,2020-11-10 10:42:00,2020-11-10 12:45:00,2020,3,1,2.4,5636.0,3142.0
Arkansas-0,Equipment/Operational,Fuel Supply Emergency - Coal,2014-11-24 00:00:00,2014-11-24 00:00:00,2014,72,1,6.486627043090639,311246.0,50630.0
Arkansas-1,Weather,Severe Weather,2015-05-26 05:30:00,2015-05-27 19:00:00,2015,71,1,6.903935185185185,323539.0,50630.0
Arkansas-2,Weather,Severe Weather,2015-07-14 15:29:00,2015-07-15 11:55:00,2015,73,1,7.993498817966903,297456.0,42464.0
Arkansas-3,Physical/Security,Sabotage,2015-11-02 17:37:00,2015-11-04 09:00:00,2015,69,1,4.69475138121547,189628.0,13818.0
Arkansas-4,Physical/Security,Suspicious Activity,2018-09-01 00:00:00,2018-09-01 15:22:00,2018,66,1,6.523162939297125,220742.0,54738.0
Arkansas-5,Equipment/Operational,System Operations,2018-11-13 18:19:00,2018-11-13 19:40:00,2018,61,1,2.6682926829268294,79448.0,10008.0
Arkansas-6,Physical/Security,Vandalism,2019-07-09 01:59:00,2019-07-09 15:50:00,2019,54,1,3.2242524916943522,88058.0,8154.0
